word,valence,arousal,dominance,aoa,category
bevriend,5.80,4.22,4.86,6.68,A
bevrijd,5.83,4.77,4.84,7.19,A
beweeglijk,5.06,5.59,4.72,8.29,A
bewonderenswaardig,5.98,4.72,5.33,9.55,A
bewondering,5.73,4.84,4.80,8.32,N
bezem,3.70,3.59,3.55,5.61,N
bezig,4.56,4.91,4.25,5.58,A
bezitter,3.94,3.95,5.20,8.65,N
bezorgd,3.66,4.78,3.66,7.03,A
bezorgdheid,3.97,4.63,3.66,8.26,N
bezwaar,2.98,4.48,4.52,8.65,N
bidden,4.05,3.00,3.53,5.39,V
biecht,3.38,3.80,3.38,8.23,N
bieden,4.55,4.56,4.13,7.16,V
bier,4.53,4.05,4.45,6.55,N
biet,4.05,3.19,3.56,6.87,N
big,4.33,3.91,3.52,5.71,N
bijbel,3.77,2.75,4.42,5.71,N
bijl,3.02,4.58,5.28,6.23,N
bijster,3.59,3.90,3.92,10.48,A
bijten,3.00,5.45,4.81,4.48,V
bijtend,2.55,5.31,5.09,7.13,A
bikkelhard,3.53,5.19,5.67,8.97,A
bil,4.31,3.81,4.02,4.81,N
biljart,4.61,3.89,3.92,8.00,N
billijk,4.85,3.65,4.16,10.67,A
binden,4.02,4.53,4.38,6.58,V
bips,4.48,3.61,3.73,5.55,N
bitter,2.80,3.89,4.67,7.26,A
bivakmuts,2.81,4.41,4.44,8.52,N
bizar,3.59,4.63,4.41,8.68,A
blaam,2.77,3.81,3.92,9.75,N
blaar,2.56,3.89,3.45,7.35,N
blaas,3.61,4.08,3.50,7.13,N
blad,4.23,3.06,3.52,4.77,N
bladzijde,4.22,3.05,3.56,5.16,N
blaffen,3.27,5.38,4.70,5.00,V
blank,4.25,3.48,3.95,6.42,A
blaten,3.63,4.41,3.30,7.36,V
blauw,4.45,3.38,4.00,3.84,A
blazen,3.89,4.78,3.83,4.45,V
bleek,3.02,2.88,3.00,6.19,A
blij,6.25,5.36,4.95,3.71,A
blijdschap,6.33,5.28,5.00,6.97,N
blijheid,6.23,5.38,4.84,6.35,N
blijk,4.33,3.65,4.06,8.77,N
blijken,4.23,4.05,3.95,7.48,V
blijven,4.72,3.33,4.06,4.74,V
blijvend,4.66,3.28,4.78,7.87,A
blik,4.16,3.89,4.22,5.87,N
bliksem,3.34,6.05,5.69,5.45,N
blind,2.20,3.11,3.31,5.87,A
blinken,5.19,4.45,4.36,6.97,V
bloed,2.83,4.41,4.42,4.32,N
bloedarm,2.27,3.13,2.86,10.62,A
bloedbad,1.36,6.03,5.28,9.45,N
bloeden,2.56,4.97,3.91,4.81,V
bloei,5.41,4.32,4.31,6.68,N
bloeien,5.42,4.61,4.61,6.48,V
bloem,5.31,3.19,3.53,3.81,N
bloesem,5.34,3.23,3.64,7.23,N
blok,3.66,3.44,4.22,4.84,N
blokken,3.52,4.63,4.33,5.23,V
blond,4.78,3.88,3.89,4.90,A
bloot,4.50,4.34,4.13,5.16,A
blos,4.68,3.92,3.58,7.86,N
blouse,4.52,3.28,3.58,7.06,N
blozen,4.30,4.41,3.16,6.52,V
blubber,3.06,3.41,3.22,6.39,N
bluf,3.56,4.52,4.20,9.13,N
blunder,2.63,4.92,3.09,8.06,N
blussen,4.30,5.34,4.41,6.23,V
blut,2.11,3.34,2.98,7.94,A
boa,3.84,4.24,4.76,9.00,N
bobbel,3.02,3.67,4.00,5.90,N
bochel,2.48,3.18,3.18,7.79,N
bocht,4.02,4.08,3.83,5.77,N
bod,4.31,4.13,4.30,8.13,N
bodem,3.64,2.81,3.56,6.16,N
boeddha,4.46,2.59,4.72,9.81,N
boef,2.47,5.19,4.58,4.65,N
boeg,4.06,3.45,4.03,8.03,N
boei,3.91,3.59,4.23,6.39,N
boeien,4.11,4.77,4.72,7.29,V
