word,valence,arousal,dominance,aoa,category
heks,2.63,4.83,4.67,4.94,N
hel,1.58,5.36,5.22,6.81,N
held,5.88,5.47,5.67,5.84,N
helder,5.42,3.89,4.42,6.71,A
heldhaftig,5.73,5.88,5.73,8.32,A
helen,5.23,4.19,4.49,9.10,V
helm,4.33,3.69,4.72,5.65,N
helpen,5.64,5.05,4.28,4.74,V
hemd,4.16,3.09,3.58,4.94,N
hemel,5.61,3.55,4.73,5.48,N
hen,4.03,3.97,3.66,6.77,N
hengel,4.13,3.03,3.69,6.87,N
hengst,4.56,5.11,5.23,7.61,N
herfst,4.38,3.58,4.00,5.58,N
hersens,4.95,5.17,5.19,6.65,N
herstellen,5.19,4.47,4.28,7.35,V
hert,4.73,4.41,3.61,5.45,N
hertog,4.36,3.84,5.14,8.16,N
heten,4.19,3.56,4.05,4.52,V
heteroseksueel,4.69,4.22,4.50,9.97,A
heup,4.06,3.70,3.84,6.77,N
heuvel,4.36,3.42,4.06,6.23,N
hevig,4.02,5.84,5.34,7.03,A
hiel,4.03,3.39,3.61,5.74,N
high,3.58,4.14,4.14,11.06,A
hijgen,3.13,5.17,3.70,7.35,V
hijsen,3.81,4.97,4.53,7.42,V
hik,3.41,4.52,3.77,4.65,N
hinder,2.75,4.28,4.17,8.26,N
hinderen,2.67,4.98,4.02,7.61,V
hindoe,4.05,3.25,3.90,10.29,N
hint,4.95,4.19,4.13,7.13,N
hit,4.87,4.79,4.81,7.74,N
Hitler,1.28,5.48,5.98,9.19,N
hoed,4.33,3.13,3.61,4.61,N
hoef,4.03,3.63,4.16,6.48,N
hoek,3.97,3.28,3.88,4.77,N
hoepel,4.50,4.10,3.66,5.32,N
hoer,2.11,5.27,3.61,9.65,N
hoes,4.19,3.25,3.61,7.06,N
hoest,2.77,4.60,3.48,5.03,N
hoesten,2.86,4.83,3.64,4.94,V
hof,4.52,3.09,4.17,7.48,N
hok,3.64,3.11,3.69,5.00,N
hol,3.42,3.09,3.50,5.58,N
hollen,3.90,5.70,4.11,6.42,V
holster,3.46,3.72,4.56,9.31,N
hommel,3.59,4.23,3.84,6.71,N
homoseksueel,4.03,4.30,4.03,9.55,A
homp,3.43,3.19,3.86,8.83,N
hond,4.73,4.79,4.09,3.32,N
honderd,4.64,3.75,4.77,5.65,R
honger,2.73,4.38,4.39,4.03,N
honing,4.97,3.36,3.47,5.29,N
hoofd,4.30,4.08,4.44,3.74,N
hoofddoek,3.64,2.98,3.38,9.06,N
hoofdpijn,2.25,4.25,4.19,5.19,N
hoofdsteun,4.66,2.89,3.78,7.97,N
hoog,4.34,4.45,4.80,4.35,A
hoogmoed,2.90,4.78,4.52,9.90,N
hoogmoedig,3.14,4.71,4.56,10.29,A
hooi,4.22,3.11,3.33,5.94,N
hoop,5.84,4.34,4.72,6.35,N
hoopvol,5.84,4.44,4.53,8.23,A
hoorn,3.83,3.81,4.50,7.03,N
hop,4.15,3.83,3.87,7.86,N
hopeloos,2.09,3.22,2.44,8.03,A
hopeloosheid,1.89,2.94,2.53,9.19,N
hopen,5.30,4.20,4.19,6.29,V
horde,3.67,4.30,4.69,9.10,N
horen,4.59,4.22,4.16,4.55,V
hotel,4.80,3.66,4.23,5.84,N
houden,4.69,3.98,4.33,4.94,V
hout,4.36,3.02,4.13,4.94,N
hufter,1.91,4.77,4.83,9.73,N
huid,4.39,3.58,3.81,6.19,N
huilen,2.38,5.02,2.86,3.87,V
huis,4.94,3.19,4.38,3.58,N
hulp,5.25,4.61,3.88,5.35,N
hulpbehoevend,3.08,3.38,2.67,10.00,A
hulpeloos,2.19,2.91,2.23,7.90,A
hulst,4.13,3.31,3.89,8.83,N
humeur,3.91,4.42,4.58,7.48,N
humeurig,2.48,4.13,4.23,8.65,A
humor,6.11,5.17,5.13,7.29,N
hup,4.56,4.91,4.13,5.00,R
huren,3.86,4.08,3.36,7.45,V
hurken,3.88,4.11,3.14,6.10,V
hut,4.31,2.92,3.56,5.16,N
huur,3.59,3.59,3.81,7.74,N
huwelijk,5.73,5.22,4.75,6.32,N
huwen,5.53,5.10,4.32,7.71,V
hyperactief,3.33,6.50,5.03,8.94,A
hypochondrisch,2.22,4.72,3.30,14.58,A
icoon,4.88,3.98,4.91,9.94,N
idealistisch,5.05,4.39,5.09,11.06,A
idee,5.31,4.47,4.84,6.10,N
idool,5.19,4.80,4.83,8.55,N
iets,4.16,3.59,3.56,4.65,N
ijdel,3.55,4.14,3.73,9.03,A
ijl,3.19,3.45,3.39,9.93,A
ijs,5.00,3.31,3.91,4.13,N
ijsje,5.58,3.67,3.31,3.74,N
ijskast,4.42,3.17,4.22,5.35,N
ijver,5.08,5.16,4.86,8.61,N
ijverig,5.53,5.56,4.94,8.39,A
ijzer,4.08,3.23,5.17,6.35,N
ijzersterk,5.70,5.08,6.03,7.74,A
illegaal,2.28,4.22,4.14,9.19,A
imam,3.80,3.75,4.29,12.66,N
impulsief,4.03,5.70,4.75,10.48,A
inbraak,1.94,5.52,4.80,6.87,N
incest,1.20,5.02,4.03,11.58,N
incompetent,2.17,2.98,2.55,11.71,A
inconsistent,2.59,3.91,2.97,12.32,A
individualistisch,3.86,4.00,4.95,11.23,A
inefficient,2.47,3.30,2.75,10.87,A
inert,3.58,3.00,3.43,12.31,A
infectie,2.00,4.81,4.20,9.03,N
inferieur,2.67,3.67,3.20,11.88,N
informeel,4.80,3.52,3.80,10.84,A
infuus,2.64,3.75,3.77,9.68,N
ingehouden,3.13,2.97,3.11,8.19,A
ingetogen,4.05,2.63,3.30,10.42,A
ingewanden,2.89,4.16,3.86,8.13,N
inhoud,4.47,3.69,4.23,7.48,N
inkt,4.30,3.14,3.97,6.06,N
innen,4.11,4.59,4.45,9.26,V
innig,5.55,4.45,4.52,9.74,A
inschikkelijk,4.42,3.28,2.93,11.07,A
insekt,3.25,4.44,3.09,5.68,N
inspanning,4.63,5.95,5.22,7.77,N
intellectueel,5.91,4.33,5.53,10.10,A
intelligent,6.22,4.41,5.22,7.71,A
intelligentie,5.97,4.28,5.56,9.03,N
intens,5.39,5.84,5.53,9.65,A
intensief,4.78,6.03,5.48,9.61,A
interessant,5.73,4.84,5.00,7.68,A
interesse,5.67,4.88,5.00,7.45,N
intiem,5.83,5.09,4.75,9.45,A
introvert,3.59,2.52,2.91,12.03,A
invalide,2.25,2.89,2.77,9.03,A
invloed,4.36,4.63,5.19,8.10,N
invloedrijk,4.95,4.91,5.55,9.32,A
irrationeel,2.70,4.08,3.35,11.58,A
irritatie,2.30,5.30,4.36,8.29,N
irriterend,2.27,5.17,4.17,8.77,A
item,4.19,3.42,3.91,9.61,N
ivoor,4.02,3.20,4.64,9.26,N
jaar,4.22,3.44,4.02,4.19,N
jacht,3.61,5.38,5.05,6.74,N
jagen,3.27,5.77,4.92,6.65,V
jaloers,2.16,5.03,4.42,7.00,A
jaloezie,2.08,5.22,4.28,7.00,N
jammer,2.67,3.63,3.14,5.23,A
janken,2.25,5.25,2.88,6.26,V
japon,4.48,2.97,3.33,8.19,N
jargon,4.00,3.63,4.47,12.70,N
jas,4.38,3.23,3.81,3.71,N
jasmijn,4.95,3.14,3.78,9.55,N
jazz,5.09,4.03,3.95,9.58,N
jeep,4.23,4.98,4.77,6.90,N
jeugd,5.25,5.03,4.09,7.13,N
jeuk,2.80,5.00,4.08,4.77,N
jicht,2.26,3.53,3.67,12.74,N
joggen,4.72,5.61,4.31,7.97,V
joint,3.33,3.48,3.91,11.58,N
joker,4.47,4.25,4.11,7.42,N
jong,5.30,4.67,3.77,5.26,A
jongen,4.67,4.52,4.39,3.42,N
Jood,3.83,3.91,4.05,8.71,N
judo,4.20,5.59,4.94,6.52,N
juf,4.63,4.54,4.33,4.06,N
juichen,5.86,5.83,5.00,6.77,V
juist,5.59,4.13,4.81,5.03,A
juk,3.22,3.64,3.84,9.64,N
jungle,4.73,5.27,4.86,6.39,N
junk,2.05,3.88,3.41,11.23,N
jurk,5.02,3.80,3.69,5.13,N
jus,4.58,3.13,3.52,6.93,N
juweel,5.56,3.65,4.75,6.35,N
kaak,3.98,3.50,4.17,5.68,N
kaal,3.03,3.16,3.58,5.71,N
kaap,3.83,3.63,4.40,9.07,N
kaars,4.88,3.03,3.45,5.19,N
kaart,4.36,3.30,3.84,5.39,N
kaarten,4.48,4.03,3.88,6.03,V
kaas,4.84,3.13,3.86,4.39,N
kaatsen,4.05,4.78,4.55,8.10,V
kabaal,2.64,5.61,4.78,6.87,N
kabel,4.02,3.48,4.06,6.61,N
kachel,4.63,3.27,4.28,6.39,N
kade,4.34,3.35,4.06,8.13,N
kader,4.08,3.47,4.03,7.68,N
kaf,3.88,3.24,3.43,10.74,N
kaft,4.03,3.21,3.81,6.55,N
kajak,4.61,4.64,4.02,8.45,N
kajuit,4.31,3.37,4.00,8.70,N
kaki,4.05,3.31,3.93,9.47,A
kakkerlak,2.23,4.30,3.52,6.97,N
kalf,4.22,4.06,2.91,5.42,N
kalk,3.72,3.16,3.69,8.16,N
kalkoen,4.25,3.81,3.38,6.19,N
kalm,5.22,2.05,4.16,5.45,A
kalmte,5.45,1.98,3.94,7.06,N
kam,4.20,3.34,3.66,4.87,N
kameel,4.39,3.59,3.92,6.32,N
kamer,4.33,3.20,3.92,3.84,N
kammen,4.17,4.41,3.66,4.90,V
kamp,4.48,4.53,4.55,6.06,N
kampioen,5.92,5.77,5.84,5.84,N
kan,4.31,3.30,4.03,4.65,N
kanaal,4.06,3.46,4.00,7.42,N
kaneel,4.55,3.31,3.77,8.48,N
kanker,1.16,4.88,5.31,8.84,N
kano,4.61,4.38,3.83,7.45,N
kanon,2.83,5.41,5.31,6.03,N
kans,5.33,4.36,4.30,5.77,N
kant,4.19,3.52,3.47,5.45,N
kantoor,3.94,3.95,4.05,6.84,N
kap,3.81,3.25,3.69,5.58,N
kapel,4.13,2.48,3.77,7.84,N
kapen,2.67,5.41,4.88,8.81,V
kapitein,4.58,4.59,5.23,5.55,N
kapot,2.48,3.77,3.44,4.26,A
kappen,3.27,4.84,4.23,7.50,V
kapper,4.44,4.50,3.72,5.26,N
kar,3.97,3.67,3.88,4.87,N
karaf,4.45,3.16,3.76,9.40,N
karig,3.16,3.38,3.03,10.38,A
karkas,2.48,2.66,3.78,9.42,N
karma,4.53,3.53,4.45,11.93,N
karper,4.06,4.02,3.84,8.23,N
kartel,3.32,3.75,4.48,11.54,N
karton,3.95,2.84,3.34,5.42,N
karwei,3.39,5.08,4.28,7.00,N
kas,4.06,3.27,3.95,7.20,N
kast,4.16,2.94,3.97,4.16,N
kasteel,5.05,3.61,5.22,4.81,N
kat,4.72,4.56,3.73,3.45,N
kater,2.80,3.59,4.28,8.26,N
katoen,4.34,3.16,3.63,7.58,N
kauwen,3.97,4.60,4.27,4.87,A
keel,4.02,3.63,3.86,5.00,N
keelpijn,2.27,4.02,3.70,5.32,N
keer,4.05,3.55,3.98,5.23,N
kegel,4.00,3.41,3.77,6.39,N
kei,4.36,2.94,4.75,6.10,N
keizer,4.19,4.28,5.69,6.84,N
kelder,3.41,3.14,3.59,5.58,N
kelk,4.11,3.15,3.82,9.23,N
kelner,4.29,4.64,3.11,8.68,N
kennel,3.68,4.37,3.66,9.70,N
kennen,4.69,4.25,4.38,4.97,V
kennis,5.23,4.08,5.11,7.06,N
kerel,4.42,4.38,4.73,6.16,N
kerk,3.70,2.66,4.23,4.55,N
kerker,2.34,3.02,4.41,7.77,N
kerkhof,2.28,2.39,3.72,6.00,N
kermis,5.02,5.61,3.80,5.13,N
kern,4.41,3.77,4.86,7.90,N
kernbom,1.52,6.30,6.08,9.55,N
kerosine,3.40,4.73,4.97,10.84,N
kerrie,4.44,3.61,4.27,8.21,N
kers,4.78,3.20,3.48,5.16,N
kerst,5.67,3.95,4.47,4.65,N
kerstmis,5.84,4.02,4.42,4.58,N
kervel,4.02,3.53,3.64,9.88,N
ketel,3.98,3.47,4.06,6.23,N
keten,3.67,3.81,4.47,8.29,N
ketter,2.63,4.62,4.47,10.45,N
keu,4.13,3.66,3.75,9.21,N
keuken,4.59,4.17,3.92,4.52,N
keuren,3.59,4.48,4.59,7.58,V
keurig,5.09,3.52,4.36,6.87,A
keus,4.87,4.27,4.67,6.26,N
kever,3.72,3.89,3.27,5.84,N
kick,4.89,5.84,5.31,9.48,N
kiel,3.79,3.65,3.77,9.75,N
kiem,4.39,3.75,3.18,9.03,N
kiemen,4.50,3.98,3.69,8.39,V
kier,3.87,3.32,3.35,6.74,N
kies,4.09,3.55,4.23,5.58,N
kieskeurig,3.48,4.39,4.31,8.52,A
kiezen,4.25,4.67,4.42,5.10,V
kijken,4.56,4.25,4.02,3.97,V
kikker,4.05,4.25,3.14,4.55,N
kil,2.39,3.00,4.30,8.10,A
kilo,3.84,3.52,4.31,6.45,N
kin,4.06,3.27,3.83,4.42,N
kind,5.05,5.02,3.19,3.65,N
kinderachtig,2.75,4.11,2.80,7.71,A
kink,3.28,3.73,3.65,9.86,N
kiosk,4.36,3.59,3.66,9.32,N
kip,4.39,4.25,3.19,4.10,N
kist,3.28,2.78,4.20,5.16,N
kitsch,3.27,3.55,3.43,10.80,N
kiwi,4.80,3.44,3.27,5.13,N
klaar,5.16,3.81,4.53,4.35,A
klacht,2.67,4.63,4.23,7.71,N
klagen,2.63,4.70,3.22,6.87,V
klam,3.08,3.25,3.08,8.77,A
klank,4.50,4.06,4.09,5.97,N
klant,4.55,4.03,4.09,6.13,N
klap,2.86,5.08,4.70,5.39,N
klappen,3.69,5.13,4.66,5.13,V
klas,4.33,4.47,4.08,4.19,N
klasse,5.28,3.52,4.58,8.39,N
klauw,3.08,4.48,4.92,6.23,N
klauwen,2.92,4.98,4.95,6.97,V
klaver,4.77,3.34,3.78,6.13,N
kleden,4.56,4.31,3.89,5.58,V
kleding,4.69,3.43,4.06,5.42,N
kleed,4.55,3.27,3.63,5.23,N
klef,3.16,3.73,3.24,8.79,A
klei,4.20,3.16,3.63,4.97,N
klein,3.70,3.19,2.59,3.94,A
klem,2.97,3.76,4.48,6.77,N
klemmen,3.17,5.02,4.75,7.81,V
klep,3.59,3.42,4.02,6.61,N
klerk,3.62,3.43,3.39,10.64,N
kletsen,4.66,4.89,4.09,6.19,V
kletsnat,3.00,4.23,3.83,5.77,A
kleur,4.89,3.64,4.11,3.77,N
kleuren,5.22,4.16,4.33,3.81,V
kleurloos,2.75,2.56,3.00,7.35,A
kleurrijk,5.64,4.84,4.70,7.06,A
kleuter,4.56,5.31,2.94,4.52,N
kleven,3.33,4.17,4.03,5.61,V
kliek,3.64,3.92,4.42,9.50,N
klier,3.00,3.95,3.84,8.58,N
klif,3.58,4.23,4.73,8.65,N
klik,4.55,4.02,4.00,6.35,N
klikken,3.66,4.58,3.75,6.35,V
klim,4.20,5.10,4.33,5.23,N
klimaat,4.55,4.05,4.72,8.48,N
klimmen,4.45,5.55,4.52,5.00,V
klink,4.06,3.39,3.78,6.39,N
klinken,4.55,4.39,4.17,6.58,V
klip,3.87,3.73,4.16,8.38,N
kloek,4.30,3.96,4.26,9.56,N
klok,4.13,3.54,4.02,4.71,N
klomp,3.88,3.09,3.89,6.26,N
kloof,3.11,3.59,4.31,7.61,N
klooster,3.84,2.44,3.73,7.00,N
kloot,2.70,3.92,4.65,8.67,N
klootzak,1.73,4.95,4.59,7.87,N
klop,3.30,4.63,4.33,5.71,N
kloppen,3.86,4.92,4.38,5.42,V
kloten,2.63,4.72,4.80,9.26,V
kloven,2.92,4.14,3.81,8.33,V
klucht,3.52,3.86,3.96,11.19,N
kluis,4.44,3.33,4.86,7.00,N
kluit,3.72,3.24,3.91,7.83,N
klus,3.77,4.69,3.84,6.65,N
klussen,4.16,5.17,4.19,6.97,V
kluts,3.48,4.05,3.34,7.97,N
klutsen,3.81,4.79,3.73,7.26,V
kluwen,3.15,4.00,4.09,9.04,N
knaap,4.31,4.13,3.36,7.19,N
knagen,3.34,4.69,4.05,6.00,V
knal,3.05,5.70,5.28,5.71,N
knallen,3.81,5.88,5.06,6.32,V
knap,5.97,4.45,4.91,5.71,A
knecht,3.22,4.33,2.52,6.84,N
kneden,4.25,4.63,4.19,6.10,V
kneep,3.42,4.64,4.55,6.06,N
knellen,2.59,4.58,4.16,8.32,V
knie,4.13,4.00,3.84,4.52,N
knielen,3.50,4.05,2.52,6.65,V
knijpen,3.19,5.06,4.58,5.45,V
knik,4.22,3.97,3.67,6.16,N
knikken,4.47,4.30,3.58,5.68,V
knip,3.77,4.11,4.00,5.47,N
knipoog,5.33,4.45,4.42,5.84,N
knippen,3.95,4.48,4.28,4.55,V
knobbel,2.69,3.44,4.05,7.55,N
knoeien,2.91,4.61,3.44,5.65,V
knokkel,3.58,3.83,4.61,7.56,N
knol,3.72,3.27,3.68,7.58,N
knoop,3.78,3.25,4.00,5.16,N
knop,4.03,3.53,4.00,4.77,N
knopen,3.95,4.03,4.14,5.68,V
knorrig,2.55,4.11,3.84,8.74,A
knots,3.38,4.31,5.11,7.07,N
knuffel,6.00,4.14,4.16,3.77,N
knul,4.25,4.11,3.36,6.77,N
knuppel,2.94,4.70,5.08,6.77,N
knus,5.81,3.02,3.95,7.52,A
koe,4.31,3.55,3.81,4.19,N
koek,4.97,3.39,3.67,3.42,N
koekoek,4.41,4.09,3.62,6.77,N
koel,3.94,3.16,3.92,5.90,A
koelen,4.27,3.89,4.00,7.13,V
koepel,4.30,2.95,4.11,7.81,N
koer,4.15,3.33,3.56,6.48,N
koers,4.23,4.61,4.29,7.74,N
koersen,4.22,5.36,4.45,8.07,V
koets,4.58,3.56,3.98,5.61,N
koffer,4.38,3.39,3.81,5.48,N
koffie,4.50,3.79,4.28,5.87,N
kogel,2.55,5.38,5.48,6.52,N
kok,4.63,4.89,4.13,5.58,N
koken,4.86,4.77,4.08,4.81,V
koker,3.94,3.52,3.69,7.65,N
kolf,3.82,3.59,3.89,9.00,N
kolom,4.02,3.39,3.83,8.00,N
kolos,3.60,4.17,5.41,9.78,N
kom,4.13,3.17,3.77,5.00,N
komen,4.63,4.80,4.11,4.23,V
komisch,5.86,4.97,4.69,8.84,A
komma,4.11,2.98,3.47,6.61,N
kompas,4.59,3.75,4.39,7.58,N
konijn,4.70,4.38,3.03,3.74,N
koning,4.78,4.14,5.45,4.71,N
kont,4.03,4.05,4.19,5.45,N
kooi,2.94,3.19,4.31,5.45,N
kook,4.59,4.47,4.27,6.00,N
kool,4.00,3.25,3.53,6.61,N
koop,4.60,4.08,4.27,5.65,N
koor,4.48,4.27,3.91,6.58,N
koord,4.03,3.40,3.92,5.65,N
koorts,2.30,4.25,4.25,5.42,N
kop,3.78,3.80,4.36,4.35,N
kopen,4.75,4.67,4.36,5.13,V
koper,4.34,3.72,4.44,8.19,N
kopie,4.14,3.28,3.53,7.52,N
kopij,4.07,3.25,3.33,9.54,N
koploper,5.02,5.67,5.41,8.23,N
koppel,5.25,4.31,4.66,6.94,N
koppen,4.13,4.78,4.41,6.39,V
koppig,3.06,4.59,4.97,7.29,A
koran,3.58,3.33,4.39,10.52,N
kordaat,4.46,4.80,5.28,9.90,A
koren,4.22,3.32,3.61,8.03,N
korf,3.95,3.41,3.78,7.81,N
korrel,4.00,3.25,3.13,6.10,N
korst,3.58,3.25,3.92,5.06,N
kort,3.73,3.41,3.28,4.94,A
korting,5.55,4.30,4.20,7.23,N
kost,3.70,3.79,4.00,6.77,N
kostbaar,5.31,4.14,4.92,7.77,A
kosten,3.05,3.95,3.95,6.52,V
koster,3.81,3.39,3.61,9.18,N
kostuum,4.64,3.38,4.05,6.58,N
kots,1.84,4.27,3.89,6.71,N
kotsen,1.97,5.38,3.58,6.77,V
koud,2.92,3.45,3.97,3.97,A
kous,3.91,2.94,3.38,4.90,N
kozijn,4.24,3.19,3.98,8.03,N
kraag,3.98,3.38,3.72,6.68,N
kraai,3.56,4.42,3.92,6.10,N
kraaien,3.50,4.89,4.00,6.90,V
kraak,3.28,4.31,4.27,8.00,N
kraal,4.33,3.19,3.58,6.65,N
kraam,4.27,3.83,3.64,7.19,N
kraan,4.11,3.55,4.05,5.03,N
krab,4.06,3.86,3.81,5.71,N
krabben,3.38,4.75,3.92,4.77,V
kracht,5.42,5.36,5.61,6.45,N
krachteloos,2.38,2.17,2.20,8.68,A
krachtig,5.41,5.64,5.95,6.74,A
kraken,3.11,4.86,4.44,6.68,V
kramp,2.53,4.83,4.19,7.32,N
kranig,4.47,4.37,4.66,9.76,A
krans,4.33,3.22,3.83,6.39,N
krant,4.53,3.47,3.80,5.13,N
krap,2.92,3.53,3.17,7.10,A
kras,3.09,3.88,4.10,5.81,N
krassen,2.81,4.86,4.33,6.26,V
krat,4.06,3.34,3.89,7.61,N
krater,3.38,4.09,4.81,8.32,N
kreeft,4.27,3.97,3.91,6.94,N
kreek,4.35,3.38,3.62,9.23,N
kreet,3.33,5.34,4.72,7.19,N
krekel,4.02,4.06,3.11,7.00,N
kreng,2.06,4.83,4.63,7.87,N
kreunen,3.84,5.16,4.03,8.48,V
kreupel,2.08,3.13,2.59,8.13,A
krib,4.14,3.02,3.34,7.46,N
krijgen,4.89,3.92,4.25,4.23,V
krijsen,2.48,5.92,4.63,5.74,V
krijt,4.19,3.17,3.44,4.65,N
krimpen,3.16,3.86,3.13,6.29,V
kring,4.48,3.59,4.17,4.84,N
kristal,5.05,3.30,4.84,7.71,N
kritisch,4.25,4.78,5.19,9.42,A
kroeg,4.64,4.69,4.19,8.71,N
krols,4.24,5.13,4.04,10.29,A
krom,3.23,3.28,3.08,6.00,A
krommen,3.48,4.28,3.75,7.87,V
kronen,4.67,4.38,4.73,7.84,V
kronkel,3.50,3.81,3.52,7.61,N
kroon,4.75,3.50,5.05,4.94,N
kroost,4.92,4.38,3.92,8.39,N
krop,3.56,3.49,3.72,7.97,N
krot,2.41,3.25,3.05,7.65,N
kruid,4.52,3.31,3.98,7.16,N
kruiden,4.83,3.36,4.05,6.68,N
kruik,4.17,3.17,3.58,7.32,N
kruimel,3.77,3.14,2.86,5.23,N
kruin,4.08,3.38,3.80,7.63,N
kruipen,3.64,4.19,2.83,4.19,V
kruis,3.67,3.38,4.13,5.71,N
kruisbeeld,3.50,3.19,3.94,7.31,N
kruisen,4.03,4.52,4.11,7.03,V
kruistocht,2.78,5.48,4.72,8.94,N
kruit,3.25,4.58,4.55,8.39,N
kruk,4.06,3.08,3.58,6.10,N
krul,4.45,3.67,3.69,5.61,N
krullen,4.83,4.31,4.00,5.90,V
kuch,3.23,4.13,3.13,7.13,N
kuchen,3.38,4.44,3.49,7.03,V
kudde,4.09,4.16,4.39,6.29,N
kuif,4.11,3.57,3.73,6.68,N
kuiken,4.81,4.13,2.67,4.45,N
kuil,3.44,3.52,3.64,5.97,N
kuip,4.16,3.20,3.77,6.93,N
kuis,4.08,3.43,3.61,9.50,N
kuisen,3.69,4.75,3.65,7.07,V
kuit,4.05,3.83,4.03,7.32,N
kunnen,5.08,4.69,4.80,4.68,V
kunst,5.23,3.30,4.48,7.03,N
kurk,4.27,3.17,3.75,6.35,N
kurken,4.14,3.84,3.90,7.39,V
kus,6.19,5.19,4.89,3.77,N
kussen,5.89,5.06,4.36,4.16,V
kust,5.22,3.42,4.42,5.84,N
kut,2.42,5.00,4.42,9.71,N
kuur,4.08,3.48,4.08,8.76,N
kwaad,2.28,5.69,5.31,4.94,A
kwaadheid,2.14,5.57,4.98,7.65,N
kwaadwillig,1.98,5.25,4.63,10.03,A
kwaal,2.52,3.86,3.64,8.35,N
kwaken,4.02,4.58,3.65,5.71,V
kwal,2.55,3.72,3.33,6.39,N
kwart,3.91,3.45,3.31,7.42,N
kwast,4.05,3.42,3.49,5.90,N
kweek,4.13,3.79,3.75,8.00,N
kweken,4.39,4.52,3.92,7.71,V
kwellen,2.06,5.16,4.53,8.55,V
kwelling,1.97,4.89,4.25,8.87,N
kwetsbaar,2.81,3.33,2.52,7.90,A
kwetsen,1.97,5.05,4.44,7.29,V
kwiek,5.14,4.79,4.78,9.08,A
kwijl,2.72,3.44,2.91,5.77,N
kwijt,2.61,3.72,3.23,4.48,A
kwik,3.89,4.11,4.27,9.42,N
laag,3.27,2.94,2.77,4.74,A
laan,4.30,2.97,3.71,6.52,N
laars,4.20,3.48,3.69,5.06,N
lab,4.17,4.27,4.24,8.29,N
label,3.84,3.44,4.27,9.55,N
lach,6.09,5.11,4.59,4.42,N
lachen,6.36,5.34,4.80,4.42,V
ladder,4.00,3.75,4.00,5.13,N
lade,4.11,3.23,3.57,6.35,N
laden,3.92,4.67,4.06,6.74,V
laf,2.28,2.91,2.44,7.84,A
lafaard,2.09,3.05,2.48,7.74,N
lafhartig,2.18,3.12,2.69,10.46,A
lak,3.95,2.92,3.97,7.13,N
lakei,3.97,4.09,2.77,8.19,N
laken,4.25,2.95,3.56,5.61,N
laks,2.71,2.69,2.91,9.58,A
lam,3.73,3.16,2.54,6.03,N
lama,4.17,3.86,3.83,7.74,N
lamlendig,2.37,2.52,2.60,10.46,A
lammetje,5.41,3.69,2.42,4.97,N
lamp,4.36,3.33,3.70,4.13,N
land,4.50,3.36,4.34,5.26,N
landen,4.45,4.59,4.13,6.32,V
landsheer,3.95,3.73,5.16,9.32,N
lang,4.16,3.55,4.48,4.87,A
langzaam,2.92,2.17,2.92,6.19,A
lans,3.72,4.20,4.73,8.00,N
lantaarn,4.34,3.27,3.81,6.71,N
lap,3.64,3.35,3.34,5.74,N
larve,3.16,3.77,2.66,7.94,N
lasso,4.05,4.59,4.52,7.19,N
last,2.66,4.20,4.17,6.71,N
lastig,2.64,4.73,4.28,6.16,A
lat,3.94,3.19,3.78,5.55,N
laten,3.83,3.42,3.34,5.29,V
laurier,4.51,3.18,3.69,10.27,N
lauw,3.72,3.06,3.22,6.45,A
lava,3.41,5.31,5.53,7.23,N
lawaai,2.72,5.52,5.00,4.87,N
lawaaierig,2.63,5.59,4.80,6.94,A
lawine,2.64,6.30,5.89,8.00,N
leder,4.30,3.23,4.17,7.45,N
leed,2.11,4.33,3.47,8.77,N
leeg,2.94,2.38,3.13,4.26,A
leek,3.33,3.22,2.92,10.42,N
leem,3.97,2.89,3.69,9.37,N
leer,4.27,3.48,4.58,6.87,N
leerkracht,4.53,4.61,4.80,6.26,N
leeuw,4.69,5.50,5.88,4.58,N
lef,5.17,5.39,5.47,7.23,N
legaal,5.02,3.63,4.56,9.10,A
leger,3.33,5.53,5.56,5.94,N
leggen,4.16,4.20,3.83,4.90,V
lei,4.07,3.20,3.80,8.57,N
leiden,4.80,5.05,5.09,6.87,V
leider,4.59,5.27,5.92,6.13,N
lek,2.92,3.70,3.31,6.29,N
lekken,3.20,4.13,3.33,6.42,V
lekker,6.08,4.14,4.89,4.13,A
lelie,5.23,2.95,3.38,7.42,N
lelijk,2.20,3.45,3.67,4.87,A
lemmet,3.40,4.40,5.04,9.29,N
lende,4.17,3.50,3.59,10.71,N
lenen,3.58,3.91,3.22,6.13,V
lenig,5.23,4.72,4.47,6.35,A
lens,4.27,3.42,3.88,7.84,N
lente,5.77,3.98,4.27,5.42,N
lepel,4.22,3.34,3.75,3.87,N
lepra,1.63,3.86,3.89,9.43,N
leren,4.59,4.89,4.45,5.06,V
les,4.19,4.26,4.23,5.10,N
lesbisch,4.20,4.66,4.23,10.00,A
letsel,2.28,4.11,3.91,9.29,N
letter,4.25,3.13,3.72,4.90,N
leugenaar,1.78,4.67,3.58,5.68,N
leuk,5.94,4.83,4.42,4.03,A
leunen,4.13,3.36,3.39,6.10,V
leus,4.26,3.84,4.18,9.52,N
leven,5.86,5.28,5.08,5.32,V
levend,5.78,5.45,5.27,6.13,A
levendig,5.94,5.80,5.36,8.16,A
levenloos,1.75,1.45,2.33,8.77,A
levensloos,1.69,1.59,2.48,8.97,A
levenslustig,6.13,5.92,5.36,9.55,A
