word;aoa;percentknown;;;;;;
frietjes;4,67;100,0;;;;;;
glijbaan;4,67;100,0;;;;;;
jij;4,67;100,0;;;;;;
paard;4,67;100,0;;;;;;
paashaas;4,68;95,0;;;;;;
groenten;4,70;100,0;;;;;;
nog;4,70;100,0;;;;;;
fruit;4,70;100,0;;;;;;
duwen;4,71;100,0;;;;;;
kuiken;4,71;100,0;;;;;;
papier;4,71;100,0;;;;;;
stappen;4,71;100,0;;;;;;
warm;4,71;100,0;;;;;;
ziek;4,71;100,0;;;;;;
tien;4,71;100,0;;;;;;
help;4,72;100,0;;;;;;
hij;4,72;100,0;;;;;;
knuffelen;4,72;100,0;;;;;;
paasei;4,72;100,0;;;;;;
speeltijd;4,72;100,0;;;;;;
van;4,72;100,0;;;;;;
wij;4,72;100,0;;;;;;
pa;4,73;100,0;;;;;;
blabla;4,74;95,0;;;;;;
schaap;4,74;100,0;;;;;;
lied;4,74;99,1;;;;;;
kamer;4,75;100,0;;;;;;
eieren;4,75;100,0;;;;;;
jullie;4,75;100,0;;;;;;
koekje;4,75;100,0;;;;;;
miauwen;4,75;100,0;;;;;;
speeltuin;4,75;100,0;;;;;;
slaapkamer;4,75;97,2;;;;;;
potlood;4,76;100,0;;;;;;
kast;4,77;100,0;;;;;;
chocolade;4,78;100,0;;;;;;
kapot;4,78;100,0;;;;;;
klaar;4,78;100,0;;;;;;
kleuter;4,78;100,0;;;;;;
leeg;4,78;100,0;;;;;;
liggen;4,78;100,0;;;;;;
slaap;4,78;100,0;;;;;;
zee;4,78;100,0;;;;;;
bloemen;4,78;100,0;;;;;;
de;4,78;100,0;;;;;;
we;4,78;100,0;;;;;;
beest;4,78;100,0;;;;;;
vlieg;4,78;100,0;;;;;;
steen;4,78;98,6;;;;;;
lip;4,79;100,0;;;;;;
mensen;4,80;100,0;;;;;;
sorry;4,80;100,0;;;;;;
mes;4,80;100,0;;;;;;
friet;4,80;99,8;;;;;;
acht;4,81;100,0;;;;;;
eend;4,81;100,0;;;;;;
trui;4,83;99,9;;;;;;
balletje;4,83;100,0;;;;;;
blokkendoos;4,83;100,0;;;;;;
het;4,83;100,0;;;;;;
luisteren;4,83;100,0;;;;;;
oké;4,83;100,0;;;;;;
tandenborstel;4,83;100,0;;;;;;
tandpasta;4,83;100,0;;;;;;
verhaal;4,83;100,0;;;;;;
welterusten;4,83;100,0;;;;;;
dromen;4,84;100,0;;;;;;
flink;4,84;100,0;;;;;;
gooien;4,84;100,0;;;;;;
krijgen;4,84;100,0;;;;;;
muziek;4,84;100,0;;;;;;
plakken;4,84;100,0;;;;;;
sneeuwen;4,84;100,0;;;;;;
verven;4,84;100,0;;;;;;
vriend;4,84;100,0;;;;;;
zak;4,84;100,0;;;;;;
zingen;4,84;100,0;;;;;;
glas;4,84;100,0;;;;;;
straf;4,84;100,0;;;;;;
fruitsap;4,85;100,0;;;;;;
eentje;4,85;100,0;;;;;;
teddy;4,85;100,0;;;;;;
negen;4,86;100,0;;;;;;
potje;4,87;100,0;;;;;;
dokter;4,87;99,8;;;;;;
zetel;4,87;100,0;;;;;;
snot;4,87;100,0;;;;;;
zandbak;4,88;97,2;;;;;;
rug;4,88;100,0;;;;;;
oranje;4,88;100,0;;;;;;
lamp;4,89;100,0;;;;;;
beker;4,89;100,0;;;;;;
doos;4,89;100,0;;;;;;
chocola;4,89;100,0;;;;;;
met;4,89;100,0;;;;;;
paddenstoel;4,89;100,0;;;;;;
pannenkoek;4,89;100,0;;;;;;
snoepje;4,89;100,0;;;;;;
vuur;4,89;100,0;;;;;;
trein;4,89;100,0;;;;;;
frieten;4,90;97,9;;;;;;
geluid;4,90;100,0;;;;;;
kado;4,90;100,0;;;;;;
regenen;4,90;100,0;;;;;;
bijten;4,90;100,0;;;;;;
geven;4,90;100,0;;;;;;
rijden;4,90;100,0;;;;;;
shampoo;4,90;100,0;;;;;;
T-shirt;4,90;100,0;;;;;;
vragen;4,90;100,0;;;;;;
vuilnisbak;4,90;100,0;;;;;;
weg;4,90;100,0;;;;;;
staart;4,90;99,6;;;;;;
ruzie;4,90;100,0;;;;;;
fles;4,91;100,0;;;;;;
spin;4,91;100,0;;;;;;
avond;4,92;100,0;;;;;;
chocomelk;4,92;100,0;;;;;;
ding;4,92;100,0;;;;;;
stok;4,92;100,0;;;;;;
oogje;4,92;100,0;;;;;;
cola;4,93;99,9;;;;;;
lego;4,93;98,6;;;;;;
armen;4,94;94,4;;;;;;
alsjeblief;4,94;100,0;;;;;;
barbiepop;4,94;100,0;;;;;;
bavet;4,94;100,0;;;;;;
boterham;4,94;100,0;;;;;;
in;4,94;100,0;;;;;;
kou;4,94;100,0;;;;;;
nu;4,94;100,0;;;;;;
steentje;4,94;100,0;;;;;;
boter;4,95;100,0;;;;;;
klokje;4,95;95,0;;;;;;
badkamer;4,95;100,0;;;;;;
vertellen;4,95;100,0;;;;;;
korst;4,95;100,0;;;;;;
aapje;4,96;100,0;;;;;;
buiten;4,96;100,0;;;;;;
familie;4,96;100,0;;;;;;
fietsen;4,96;100,0;;;;;;
knippen;4,96;100,0;;;;;;
kunnen;4,96;100,0;;;;;;
poot;4,96;100,0;;;;;;
roepen;4,96;100,0;;;;;;
slaan;4,96;100,0;;;;;;
val;4,96;100,0;;;;;;
vol;4,96;100,0;;;;;;
wassen;4,96;100,0;;;;;;
kerst;4,96;100,0;;;;;;
wind;4,97;100,0;;;;;;
vuil;4,97;100,0;;;;;;
bakker;4,98;99,8;;;;;;
muur;4,98;100,0;;;;;;
stift;4,99;100,0;;;;;;
bus;4,99;100,0;;;;;;
wortel;4,99;100,0;;;;;;
vraag;5,00;100,0;;;;;;
appelmoes;5,00;100,0;;;;;;
bedtijd;5,00;100,0;;;;;;
hier;5,00;100,0;;;;;;
maar;5,00;100,0;;;;;;
snoepen;5,00;100,0;;;;;;
tikkertje;5,00;100,0;;;;;;
wat;5,00;100,0;;;;;;
zaterdag;5,00;100,0;;;;;;
zondag;5,00;100,0;;;;;;
fust;5,00;5,6;;;;;;
spinnaker;5,00;5,6;;;;;;
dansen;5,00;100,0;;;;;;
kin;5,01;100,0;;;;;;
prins;5,01;100,0;;;;;;
luier;5,01;99,1;;;;;;
bloed;5,01;99,8;;;;;;
spiegel;5,02;100,0;;;;;;
eitje;5,02;100,0;;;;;;
wolken;5,02;100,0;;;;;;
blazen;5,03;100,0;;;;;;
droog;5,03;100,0;;;;;;
kerstmis;5,03;100,0;;;;;;
lawaai;5,03;100,0;;;;;;
nemen;5,03;100,0;;;;;;
nummer;5,03;100,0;;;;;;
sterk;5,03;100,0;;;;;;
tekenfilm;5,03;100,0;;;;;;
